date, open, high, low, close, volume
2022-08-26 16:21:31, 0.99758, 1.00906, 0.99461, 1.00589, 1661523689810
2022-08-26 16:21:49, 0.99758, 1.00906, 0.99461, 1.00572, 1661523707949
2022-08-26 16:21:58, 0.99758, 1.00906, 0.99461, 1.00592, 1661523717928
2022-08-26 16:22:45, 0.99758, 1.00906, 0.99461, 1.00496, 1661523764746
2022-08-26 16:23:01, 0.99758, 1.00906, 0.99461, 1.0049, 1661523780454
2022-08-26 16:23:12, 0.99758, 1.00906, 0.99461, 1.00491, 1661523791791
2022-08-26 16:23:24, 0.99758, 1.00906, 0.99461, 1.005, 1661523803446
2022-08-26 16:23:34, 0.99758, 1.00906, 0.99461, 1.005, 1661523813669
2022-08-26 16:24:00, 0.99758, 1.00906, 0.99461, 1.00477, 1661523838291
2022-08-26 16:24:10, 0.99758, 1.00906, 0.99461, 1.0049, 1661523849312
2022-08-26 16:24:17, 0.99758, 1.00906, 0.99461, 1.00462, 1661523856424
2022-08-26 16:24:23, 0.99758, 1.00906, 0.99461, 1.00474, 1661523863164
2022-08-26 16:24:44, 0.99758, 1.00906, 0.99461, 1.00488, 1661523883195
2022-08-26 16:25:03, 0.99758, 1.00906, 0.99461, 1.00514, 1661523902302
2022-08-26 16:25:19, 0.99758, 1.00906, 0.99461, 1.00538, 1661523918045
2022-08-26 16:27:41, 0.99758, 1.00906, 0.99461, 1.00386, 1661524056526
2022-08-26 16:32:16, 0.99758, 1.00906, 0.99461, 1.00395, 1661524336910
2022-08-26 16:32:21, 0.99758, 1.00906, 0.99461, 1.00399, 1661524341592
2022-08-26 16:32:26, 0.99758, 1.00906, 0.99461, 1.00398, 1661524346283
2022-08-26 16:32:31, 0.99758, 1.00906, 0.99461, 1.00406, 1661524351590
2022-08-26 16:32:36, 0.99758, 1.00906, 0.99461, 1.00398, 1661524356533
2022-08-26 16:32:41, 0.99758, 1.00906, 0.99461, 1.00401, 1661524361195
2022-08-26 16:32:46, 0.99758, 1.00906, 0.99461, 1.00419, 1661524366193
2022-08-26 16:32:51, 0.99758, 1.00906, 0.99461, 1.0043, 1661524370208
2022-08-26 16:32:56, 0.99758, 1.00906, 0.99461, 1.0042, 1661524376367
2022-08-26 16:33:00, 0.99758, 1.00906, 0.99461, 1.00433, 1661524380723
2022-08-26 16:33:04, 0.99758, 1.00906, 0.99461, 1.0043, 1661524384673
2022-08-26 16:33:09, 0.99758, 1.00906, 0.99461, 1.00436, 1661524389746
2022-08-26 16:33:14, 0.99758, 1.00906, 0.99461, 1.00426, 1661524394151
2022-08-26 16:33:19, 0.99758, 1.00906, 0.99461, 1.00408, 1661524399146
2022-08-26 16:33:24, 0.99758, 1.00906, 0.99461, 1.00388, 1661524403973
2022-08-26 16:33:28, 0.99758, 1.00906, 0.99461, 1.00391, 1661524409020
2022-08-26 16:33:33, 0.99758, 1.00906, 0.99461, 1.00392, 1661524413327
2022-08-26 16:33:38, 0.99758, 1.00906, 0.99461, 1.00386, 1661524418243
2022-08-26 16:33:44, 0.99758, 1.00906, 0.99461, 1.00392, 1661524423198
2022-08-26 16:33:49, 0.99758, 1.00906, 0.99461, 1.00402, 1661524428300
2022-08-26 16:33:54, 0.99758, 1.00906, 0.99461, 1.00389, 1661524433665
2022-08-26 16:33:58, 0.99758, 1.00906, 0.99461, 1.00381, 1661524438219
2022-08-26 16:34:02, 0.99758, 1.00906, 0.99461, 1.00385, 1661524442572
2022-08-26 16:34:08, 0.99758, 1.00906, 0.99461, 1.00382, 1661524447290
2022-08-26 16:34:12, 0.99758, 1.00906, 0.99461, 1.00384, 1661524452007
2022-08-26 16:34:16, 0.99758, 1.00906, 0.99461, 1.00385, 1661524456849
2022-08-26 16:34:21, 0.99758, 1.00906, 0.99461, 1.00402, 1661524461211
